Date,PlotID,Depth_relative,Temperature,Volumetric_water_content
5/10/2018,232,Shallow,30.39125,0.04838344
5/10/2018,231,Shallow,30.38375,0.03750343
5/10/2018,531,Shallow,30.14522,0.08067936
5/10/2018,432,Shallow,30.10056,0.03792341
5/10/2018,131,Shallow,29.99773,0.03926928
5/10/2018,331,Shallow,29.69205,0.05696153
5/10/2018,631,Shallow,29.61747,0.06377696
5/10/2018,132,Shallow,29.21839,0.07607657
5/10/2018,632,Shallow,28.84031,0.05682362
5/10/2018,122,Shallow,28.4802,0.04512188
5/10/2018,112,Shallow,28.29341,0.05718307
5/10/2018,611,Shallow,28.12175,0.03700435
5/10/2018,522,Shallow,27.94846,0.03090649
5/10/2018,111,Shallow,27.8586,0.03303522
5/10/2018,412,Shallow,27.82177,0.04752902
5/10/2018,221,Shallow,27.70625,0.03946176
5/10/2018,521,Shallow,27.61011,0.05015338
5/10/2018,212,Shallow,27.55708,0.03943656
5/10/2018,322,Shallow,27.45042,0.03728774
5/10/2018,622,Shallow,27.37564,0.0307026
5/10/2018,422,Shallow,27.35844,0.03379276
5/10/2018,222,Shallow,27.35375,0.04104931
5/10/2018,621,Shallow,27.23745,0.03368238
5/10/2018,121,Shallow,27.16633,0.04576332
5/10/2018,321,Shallow,26.98056,0.03761462
5/10/2018,411,Shallow,26.88139,0.04649043
5/10/2018,312,Shallow,26.83191,0.04028525
5/10/2018,311,Shallow,26.79166,0.04184519
5/10/2018,211,Shallow,26.77042,0.045935
5/10/2018,612,Shallow,26.66732,0.04487232
5/10/2018,512,Shallow,26.61892,0.02781336
5/10/2018,421,Deep,26.55969,0.03755007
5/10/2018,511,Shallow,26.25612,0.05514282
5/10/2018,531,Deep,25.07781,0.04243785
5/10/2018,131,Deep,24.8497,0.04102196
5/10/2018,231,Deep,24.65667,0.03808454
5/10/2018,632,Deep,24.3243,0.05585417
5/10/2018,631,Deep,24.30827,0.04436197
5/10/2018,331,Deep,24.25259,0.06530899
5/10/2018,431,Deep,24.2302,0.04857781
5/10/2018,332,Deep,24.20536,0.04523225
5/10/2018,232,Deep,24.00292,0.03795564
5/10/2018,121,Deep,23.9119,0.04059939
5/10/2018,132,Deep,23.71206,0.1028735
5/10/2018,532,Deep,23.7099,0.04828266
5/10/2018,432,Deep,23.70767,0.03434118
5/10/2018,421,Shallow,23.63702,0.0437443
5/10/2018,521,Deep,23.59199,0.05078118
5/10/2018,211,Deep,23.42583,0.03941014
5/10/2018,221,Deep,23.36708,0.03946731
5/10/2018,422,Deep,23.34957,0.03311453
5/10/2018,621,Deep,23.33447,0.04337489
5/10/2018,322,Deep,23.05421,0.04116308
5/10/2018,522,Deep,22.86676,0.04332507
5/10/2018,311,Deep,22.86617,0.03472114
5/10/2018,321,Deep,22.76879,0.06661858
5/10/2018,412,Deep,22.73761,0.03330765
5/10/2018,112,Deep,22.73476,0.05425623
5/10/2018,222,Deep,22.57792,0.04312743
5/10/2018,511,Deep,22.53245,0.05377153
5/10/2018,122,Deep,22.50265,0.06225321
5/10/2018,611,Deep,22.48949,0.05915012
5/10/2018,612,Deep,22.47759,0.02824932
5/10/2018,212,Deep,22.47625,0.04958638
5/10/2018,111,Deep,22.25599,0.04821788
5/10/2018,411,Deep,22.22436,0.06043392
5/10/2018,622,Deep,22.20219,0.04730351
5/10/2018,312,Deep,21.79246,0.04860563
5/10/2018,512,Deep,21.68234,0.02671101
5/9/2018,232,Shallow,28.33708,0.04952123
5/9/2018,231,Shallow,28.21917,0.0384608
5/9/2018,631,Shallow,28.0485,0.06567822
5/9/2018,532,Shallow,28.01962,0.03284338
5/9/2018,432,Shallow,27.97489,0.03875392
5/9/2018,131,Shallow,27.95983,0.0403569
5/9/2018,332,Shallow,27.80481,0.04768666
5/9/2018,431,Shallow,27.64625,0.01882774
5/9/2018,531,Shallow,27.59897,0.08420149
5/9/2018,331,Shallow,27.4285,0.05829916
5/9/2018,632,Shallow,27.17139,0.05813882
5/9/2018,132,Shallow,26.54945,0.07654798
5/9/2018,122,Shallow,25.73516,0.04449059
5/9/2018,221,Shallow,25.61833,0.03936523
5/9/2018,112,Shallow,25.52957,0.05798871
5/9/2018,522,Shallow,25.46203,0.03081299
5/9/2018,422,Shallow,25.32825,0.03309231
5/9/2018,111,Shallow,25.28899,0.03468862
5/9/2018,622,Shallow,25.13481,0.03033779
5/9/2018,322,Shallow,25.0395,0.03692016
5/9/2018,621,Shallow,25.03449,0.03333629
5/9/2018,611,Shallow,24.94734,0.0376785
5/9/2018,521,Shallow,24.91365,0.04955209
5/9/2018,412,Shallow,24.81174,0.04810463
5/9/2018,222,Shallow,24.80583,0.04015996
5/9/2018,321,Shallow,24.61612,0.03723508
5/9/2018,212,Shallow,24.6,0.04037376
5/9/2018,411,Shallow,24.53236,0.04704001
5/9/2018,121,Shallow,24.50207,0.04533213
5/9/2018,311,Shallow,24.43486,0.04309705
5/9/2018,612,Shallow,24.26448,0.04557312
5/9/2018,211,Shallow,24.24083,0.04619876
5/9/2018,312,Shallow,24.23228,0.04134395
5/9/2018,421,Deep,24.19252,0.03713286
5/9/2018,512,Shallow,24.17691,0.02818917
5/9/2018,511,Shallow,24.10608,0.05574684
5/9/2018,531,Deep,23.94483,0.04206979
5/9/2018,131,Deep,23.77824,0.04072914
5/9/2018,231,Deep,23.52458,0.03806282
5/9/2018,632,Deep,23.42839,0.05536136
5/9/2018,331,Deep,23.22952,0.06536385
5/9/2018,631,Deep,23.22335,0.04406492
5/9/2018,431,Deep,23.1646,0.04832082
5/9/2018,232,Deep,23.11917,0.03764736
5/9/2018,332,Deep,22.8848,0.04492458
5/9/2018,432,Deep,22.8488,0.03398766
5/9/2018,121,Deep,22.76354,0.04010656
5/9/2018,421,Shallow,22.57804,0.0432734
5/9/2018,521,Deep,22.5293,0.05019582
5/9/2018,132,Deep,22.47206,0.102712
5/9/2018,532,Deep,22.46745,0.04794605
5/9/2018,221,Deep,22.385,0.03904469
5/9/2018,621,Deep,22.33236,0.04292746
5/9/2018,422,Deep,22.27432,0.03262932
5/9/2018,322,Deep,22.05889,0.04070872
5/9/2018,211,Deep,22.02583,0.0394341
5/9/2018,522,Deep,21.7912,0.042866
5/9/2018,412,Deep,21.78287,0.03310859
5/9/2018,321,Deep,21.74414,0.06597241
5/9/2018,112,Deep,21.73209,0.05391802
5/9/2018,311,Deep,21.67286,0.03468474
5/9/2018,611,Deep,21.50851,0.0591092
5/9/2018,222,Deep,21.495,0.04275172
5/9/2018,511,Deep,21.43835,0.05329407
5/9/2018,122,Deep,21.40141,0.06164233
5/9/2018,212,Deep,21.33083,0.04922798
5/9/2018,612,Deep,21.32959,0.02813169
5/9/2018,111,Deep,21.22584,0.04869624
5/9/2018,622,Deep,21.15771,0.04691648
5/9/2018,411,Deep,21.14477,0.06063539
5/9/2018,512,Deep,20.82281,0.02654174
5/9/2018,312,Deep,20.75033,0.04869839
5/8/2018,232,Shallow,27.91375,0.05060267
5/8/2018,231,Shallow,27.67208,0.03936383
5/8/2018,131,Shallow,27.64329,0.04153436
5/8/2018,532,Shallow,27.61213,0.03367372
5/8/2018,631,Shallow,27.47435,0.06768588
5/8/2018,432,Shallow,27.36175,0.03955791
5/8/2018,332,Shallow,27.31595,0.04898555
5/8/2018,531,Shallow,27.25901,0.08683255
5/8/2018,431,Shallow,27.15726,0.01943512
5/8/2018,331,Shallow,27.03752,0.05981943
5/8/2018,632,Shallow,26.27558,0.05914878
5/8/2018,132,Shallow,26.04244,0.07725122
5/8/2018,112,Shallow,25.74067,0.05912
5/8/2018,122,Shallow,25.52558,0.04392231
5/8/2018,221,Shallow,24.96792,0.03918105
5/8/2018,111,Shallow,24.83865,0.03621754
5/8/2018,611,Shallow,24.80082,0.03854063
5/8/2018,522,Shallow,24.79865,0.03079151
5/8/2018,412,Shallow,24.64734,0.0487875
5/8/2018,621,Shallow,24.51828,0.03296577
5/8/2018,422,Shallow,24.40328,0.03216127
5/8/2018,622,Shallow,24.36864,0.02993974
5/8/2018,322,Shallow,24.3293,0.03646838
5/8/2018,222,Shallow,24.21917,0.0393125
5/8/2018,212,Shallow,24.14458,0.04154324
5/8/2018,521,Shallow,24.10978,0.04896739
5/8/2018,121,Shallow,23.8057,0.04493512
5/8/2018,312,Shallow,23.71422,0.04247032
5/8/2018,211,Shallow,23.70875,0.04688448
5/8/2018,321,Shallow,23.70489,0.0367575
5/8/2018,411,Shallow,23.70382,0.0480333
5/8/2018,512,Shallow,23.64784,0.02846646
5/8/2018,612,Shallow,23.59508,0.04608888
5/8/2018,421,Deep,23.59124,0.03674749
5/8/2018,311,Shallow,23.55032,0.04438791
5/8/2018,511,Shallow,23.41636,0.0563153
5/8/2018,531,Deep,22.89325,0.04161429
5/8/2018,131,Deep,22.60968,0.0403157
5/8/2018,231,Deep,22.39292,0.03810659
5/8/2018,632,Deep,22.24186,0.05470955
5/8/2018,331,Deep,22.1558,0.06509751
